persona_id,family,feature,generated_mean,generated_std,reference_mean,reference_std,z_score,flag
dos_hulk_v1,impact,down_up_ratio_mean,0.598,0.097,0.5,0.2,0.49,ok
dos_hulk_v1,impact,pkt_len_mean,199.875,5.259,150.0,100.0,0.5,ok
dos_hulk_v1,impact,port_scan_score,0.017,0.02,0.01,0.02,0.36,ok
dos_hulk_v1,impact,retransmit_count,7.588,2.866,2.0,1.5,3.72,REVIEW
dos_slowloris_v1,impact,flow_count,3.983,2.017,80.0,40.0,-1.9,ok
dos_slowloris_v1,impact,syn_flag_sum,0.101,0.302,50.0,25.0,-2.0,ok
dos_slowloris_v1,impact,dest_port_entropy,0.689,0.403,0.1,0.2,2.95,REVIEW
dos_slowloris_v1,impact,down_up_ratio_mean,0.408,0.097,0.5,0.2,-0.46,ok
dos_slowloris_v1,impact,pkt_len_mean,40.263,8.693,150.0,100.0,-1.1,ok
dos_slowloris_v1,impact,port_scan_score,0.017,0.021,0.01,0.02,0.34,ok
dos_slowloris_v1,impact,retransmit_count,0.082,0.279,2.0,1.5,-1.28,ok
infiltration_v1,lateral_movement,flow_count,3.022,1.874,4.0,2.5,-0.39,ok
infiltration_v1,lateral_movement,syn_flag_sum,0.015,0.123,1.0,1.0,-0.98,ok
infiltration_v1,lateral_movement,dest_port_entropy,0.913,0.651,0.6,0.5,0.63,ok
infiltration_v1,lateral_movement,down_up_ratio_mean,1.501,0.483,1.3,0.6,0.34,ok
infiltration_v1,lateral_movement,pkt_len_mean,819.435,261.227,750.0,350.0,0.2,ok
infiltration_v1,lateral_movement,port_scan_score,0.073,0.038,0.05,0.06,0.38,ok
infiltration_v1,lateral_movement,retransmit_count,0.054,0.233,0.3,0.4,-0.61,ok
lateral_movement_smb_v1,lateral_movement,flow_count,4.951,2.298,4.0,2.5,0.38,ok
lateral_movement_smb_v1,lateral_movement,syn_flag_sum,0.486,0.553,1.0,1.0,-0.51,ok
lateral_movement_smb_v1,lateral_movement,dest_port_entropy,0.742,0.359,0.6,0.5,0.28,ok
lateral_movement_smb_v1,lateral_movement,down_up_ratio_mean,1.211,0.308,1.3,0.6,-0.15,ok
lateral_movement_smb_v1,lateral_movement,pkt_len_mean,903.864,166.363,750.0,350.0,0.44,ok
lateral_movement_smb_v1,lateral_movement,port_scan_score,0.081,0.033,0.05,0.06,0.52,ok
lateral_movement_smb_v1,lateral_movement,retransmit_count,0.082,0.289,0.3,0.4,-0.55,ok
web_bruteforce_v1,initial_access,flow_count,25.081,5.497,18.0,6.0,1.18,ok
web_bruteforce_v1,initial_access,syn_flag_sum,7.019,1.722,8.0,3.0,-0.33,ok
web_bruteforce_v1,initial_access,dest_port_entropy,1.905,0.087,0.3,0.4,4.01,REVIEW
web_bruteforce_v1,initial_access,down_up_ratio_mean,1.31,0.304,1.0,0.4,0.77,ok
web_bruteforce_v1,initial_access,pkt_len_mean,349.982,19.841,200.0,150.0,1.0,ok
web_bruteforce_v1,initial_access,port_scan_score,0.026,0.024,0.02,0.03,0.2,ok
web_bruteforce_v1,initial_access,retransmit_count,0.501,0.712,0.5,0.5,0.0,ok
web_sql_injection_v1,initial_access,flow_count,7.493,2.927,18.0,6.0,-1.75,ok
web_sql_injection_v1,initial_access,syn_flag_sum,1.007,0.674,8.0,3.0,-2.33,REVIEW
web_sql_injection_v1,initial_access,dest_port_entropy,1.568,0.403,0.3,0.4,3.17,REVIEW
web_sql_injection_v1,initial_access,down_up_ratio_mean,1.82,0.411,1.0,0.4,2.05,REVIEW
web_sql_injection_v1,initial_access,pkt_len_mean,698.919,99.177,200.0,150.0,3.33,REVIEW
web_sql_injection_v1,initial_access,port_scan_score,0.023,0.023,0.02,0.03,0.09,ok
web_sql_injection_v1,initial_access,retransmit_count,0.108,0.32,0.5,0.5,-0.78,ok
web_xss_v1,initial_access,flow_count,9.065,3.28,18.0,6.0,-1.49,ok
web_xss_v1,initial_access,syn_flag_sum,1.132,0.678,8.0,3.0,-2.29,REVIEW
web_xss_v1,initial_access,dest_port_entropy,1.671,0.292,0.3,0.4,3.43,REVIEW
web_xss_v1,initial_access,down_up_ratio_mean,2.18,0.507,1.0,0.4,2.95,REVIEW
web_xss_v1,initial_access,pkt_len_mean,549.193,70.01,200.0,150.0,2.33,REVIEW
web_xss_v1,initial_access,port_scan_score,0.023,0.023,0.02,0.03,0.1,ok
web_xss_v1,initial_access,retransmit_count,0.143,0.366,0.5,0.5,-0.71,ok
