persona_id,family,feature,generated_mean,generated_std,reference_mean,reference_std,z_score,flag
dos_hulk_v1,impact,port_scan_score,0.017,0.021,0.01,0.02,0.37,ok
dos_hulk_v1,impact,retransmit_count,7.578,2.85,2.0,1.5,3.72,REVIEW
dos_slowloris_v1,impact,flow_count,3.997,1.998,80.0,40.0,-1.9,ok
dos_slowloris_v1,impact,syn_flag_sum,0.1,0.301,50.0,25.0,-2.0,ok
dos_slowloris_v1,impact,dest_port_entropy,0.684,0.403,0.1,0.2,2.92,REVIEW
dos_slowloris_v1,impact,down_up_ratio_mean,0.401,0.101,0.5,0.2,-0.5,ok
dos_slowloris_v1,impact,pkt_len_mean,39.935,8.963,150.0,100.0,-1.1,ok
dos_slowloris_v1,impact,port_scan_score,0.017,0.02,0.01,0.02,0.35,ok
dos_slowloris_v1,impact,retransmit_count,0.084,0.288,2.0,1.5,-1.28,ok
infiltration_v1,lateral_movement,flow_count,2.958,1.828,4.0,2.5,-0.42,ok
infiltration_v1,lateral_movement,syn_flag_sum,0.015,0.121,1.0,1.0,-0.99,ok
infiltration_v1,lateral_movement,dest_port_entropy,0.892,0.646,0.6,0.5,0.58,ok
infiltration_v1,lateral_movement,down_up_ratio_mean,1.492,0.494,1.3,0.6,0.32,ok
infiltration_v1,lateral_movement,pkt_len_mean,811.327,279.078,750.0,350.0,0.18,ok
infiltration_v1,lateral_movement,port_scan_score,0.072,0.038,0.05,0.06,0.36,ok
infiltration_v1,lateral_movement,retransmit_count,0.058,0.245,0.3,0.4,-0.61,ok
lateral_movement_smb_v1,lateral_movement,flow_count,4.932,2.289,4.0,2.5,0.37,ok
lateral_movement_smb_v1,lateral_movement,syn_flag_sum,0.495,0.555,1.0,1.0,-0.5,ok
lateral_movement_smb_v1,lateral_movement,dest_port_entropy,0.755,0.353,0.6,0.5,0.31,ok
lateral_movement_smb_v1,lateral_movement,down_up_ratio_mean,1.205,0.304,1.3,0.6,-0.16,ok
lateral_movement_smb_v1,lateral_movement,pkt_len_mean,899.347,158.631,750.0,350.0,0.43,ok
lateral_movement_smb_v1,lateral_movement,port_scan_score,0.082,0.033,0.05,0.06,0.54,ok
lateral_movement_smb_v1,lateral_movement,retransmit_count,0.078,0.284,0.3,0.4,-0.55,ok
web_bruteforce_v1,initial_access,flow_count,25.122,5.479,18.0,6.0,1.19,ok
web_bruteforce_v1,initial_access,syn_flag_sum,7.028,1.738,8.0,3.0,-0.32,ok
web_bruteforce_v1,initial_access,dest_port_entropy,1.906,0.082,0.3,0.4,4.01,REVIEW
web_bruteforce_v1,initial_access,down_up_ratio_mean,1.309,0.301,1.0,0.4,0.77,ok
web_bruteforce_v1,initial_access,pkt_len_mean,349.646,20.236,200.0,150.0,1.0,ok
web_bruteforce_v1,initial_access,port_scan_score,0.025,0.024,0.02,0.03,0.18,ok
web_bruteforce_v1,initial_access,retransmit_count,0.49,0.713,0.5,0.5,-0.02,ok
web_sql_injection_v1,initial_access,flow_count,7.505,2.912,18.0,6.0,-1.75,ok
web_sql_injection_v1,initial_access,syn_flag_sum,0.997,0.676,8.0,3.0,-2.33,REVIEW
web_sql_injection_v1,initial_access,dest_port_entropy,1.574,0.388,0.3,0.4,3.19,REVIEW
web_sql_injection_v1,initial_access,down_up_ratio_mean,1.81,0.405,1.0,0.4,2.02,REVIEW
web_sql_injection_v1,initial_access,pkt_len_mean,700.321,99.658,200.0,150.0,3.34,REVIEW
web_sql_injection_v1,initial_access,port_scan_score,0.022,0.023,0.02,0.03,0.08,ok
web_sql_injection_v1,initial_access,retransmit_count,0.112,0.329,0.5,0.5,-0.78,ok
web_xss_v1,initial_access,flow_count,9.108,3.23,18.0,6.0,-1.48,ok
web_xss_v1,initial_access,syn_flag_sum,1.133,0.669,8.0,3.0,-2.29,REVIEW
web_xss_v1,initial_access,dest_port_entropy,1.674,0.309,0.3,0.4,3.43,REVIEW
web_xss_v1,initial_access,down_up_ratio_mean,2.195,0.503,1.0,0.4,2.99,REVIEW
web_xss_v1,initial_access,pkt_len_mean,551.91,72.671,200.0,150.0,2.35,REVIEW
web_xss_v1,initial_access,port_scan_score,0.024,0.024,0.02,0.03,0.12,ok
web_xss_v1,initial_access,retransmit_count,0.138,0.362,0.5,0.5,-0.72,ok
